Policy,Country,Year,Status,Jurisdiction,policy_url,Topics,Type,Sectors,Technologies,LearnMore,Policy_Content,Source
Energy Ministry Decree regarding National Planning on Mineral and Coal 2022-2027,Indonesia,2022,In force,National,https://www.iea.org/policies/17994-energy-ministry-decree-regarding-national-planning-on-mineral-and-coal-2022-2027,Critical Minerals,Strategic plans,,,https://jdih.esdm.go.id/storage/document/Salinan%20Kepmen%20ESDM%20Nomor%20301%20RPMBN%202022%20sd%202027.pdf,"This decree has instituted a strategic plan aimed at overseeing the Management of National Mineral and Coal from 2022 to 2027. The plan encompasses key elements such as the objective, target, institutional framework, monitoring and evaluation mechanisms. Taking into consideration various factors such as sustainability of natural resources and environment, regional spatial layout, the development of sciences and technology, economy growth, mineral commodity priority, total and available mining areas, total reserve of mineral resources and coal as well as the availability of facilities and infrastructure, the plan aims to ensure a comprehensive approach. This strategic plan serves as a guiding framework for various aspects of mineral and coal management, including the issuance of mining permits, supervision, enhancement of the added value of mineral and coal, production control, sales oversight and the establishment of state revenue targets. Technical guidelines are implemented in accordance with the National Mineral and Coal Management Plan, ensuring a standardised approach. Furthermore, the plan undergoes periodic revaluation every five years to adapt to changes in national mineral and coal policy, as well as shift in the long-term and medium-term national development plans. By addressing these elements, the plan seeks to promote sustainable resource management and contribute to the overall development of the mining sector.",IEA
Energy Resources Regulations - 2022 Energy Efficiency of Electrical Induction Motors,Israel,2022,In force,National,https://www.iea.org/policies/19994-energy-resources-regulations-2022-energy-efficiency-of-electrical-induction-motors,Industry,Minimum Energy Performance Standards (MEPS),,,https://www.gov.il/he/pages/electric_motors,Israel updated its minimum energy performance standards for industrial motors in 2022 to reflect the EU ecodisign regulation with three-phase motors of class IE4 or above.,IEA
Energy Shield: Measures against high energy prices,Poland,2022,Ended,National,https://www.iea.org/policies/17221-energy-shield-measures-against-high-energy-prices,Just transitions,Government spending for energy affordability,,,https://www.gov.pl/web/chronimyrodziny/rzadowa-tarcza-energetyczna,"The Energy Shield is a set of measures enacted by the Polish Government to ensure lower energy prices for households, vulnerable consumers, district heating users and gas consumers.For these consumers, gas prices are capped at PLN 200 net/MWh and gas distribution rates are frozen.Lowest income households receive VAT refunds related to their gas bills and a one-time lump sump subsidy ranging from PLN 400 - 1500 to offset energy, gas and food prices.Households heating with coal can apply for a one-time lump sum allowance of PLN 3,000.Households heating with electricity can apply for a one-time lump sum allowance from PLN 1,000 to PLN 1,500.District heating prices are capped at PLN 150.95/GJ for gas and oil heating, and PLN 103.82/GJ for other heating sources.From 1 October 2022 until 31 December 2023, district heating prices' increase cannot exceed 40% compared to prices applicable on 30 September 2022.",IEA
Energy Transition Plan (ETP),Nigeria,2022,In force,National,https://www.iea.org/policies/25932-energy-transition-plan-etp,Economy-wide,Master Energy Plan,,,https://www.energytransition.gov.ng/,"The Nigeria Energy Transition Plan (ETP) is a home-grown, data-backed, multipronged strategy developed for the achievement of net-zero emissions in terms of the nation’s energy consumption.The Nigeria ETP sets out a timeline and framework for the attainment of emissions’ reduction across 5 key sectors; Power, Cooking, Oil and Gas, Transport and Industry.Within the scope of the ETP, about 65% of Nigeria’s emissions are affected.It establishes the target of carbon neutrality by 2060.",IEA
Energy VAT temporary cap,Brazil,2022,In force,National,https://www.iea.org/policies/16691-energy-vat-temporary-cap,,,,,http://www.planalto.gov.br/ccivil_03/LEIS/LCP/Lcp194.htm,"In an effort to protect domestic consumers from the effects of the energy price crisis, the Federal government of Brazil enacted a cap on electricity, fuels and transportations services VAT (ICMS) at 18% in the country, until the end of 2022. As the tax is administered by States, who are also in charge of rate-setting, a compensation is planned by law if loss in revenues are higher than 5% of the amounts collected in 2021.",IEA
Energy affordability measures for domestic companies,France,2022,Ended,National,https://www.iea.org/policies/16414-energy-affordability-measures-for-domestic-companies,Just transitions,Government spending for energy affordability,,,https://www.entreprises.gouv.fr/files/files/enjeux/ukraine/crise-en-ukraine-faq-plan-de-resilience.pdf?v=1652780490,"In an effort to shield most vulnerable domestic companies from the effects of the global energy crisis, the French government enacted specific schemes until end December 2022 :- A temporary subsidy scheme for energy-intensive companies (eg. companies whose gas and electricity expenses represent at least 3% of yearly profits, and face a deficit risk due to energy price rise). A EUR 5 billion envelope was agreed upon with the European Commission on 1 July 2022. The subsidy scheme, which covers up to half the increase of the recipient's energy expenses, is subject to different caps depending on the company's profile.-Specific support for the transport, construction and agriculture sectors.-State-backed loans providing liquidity to companies directly affected by the rise in energy prices caused by the invasion of Ukraine, were made available starting in April 2022.In addition, targeted tax rebates and subsidies for some sectors (transport, construction, agriculture and fisheries ) were enacted. A call for project entitled ""Zero Fossil Industry"" focused on biomass-based heat generation, energy efficiency and industrial process decarbonisation, as well as accelerating industrial decarbonisation was also launched from April 2022 to early November 2022.",IEA
Energy bill compensation for regional schools,Slovak Republic,2022,In force,National,https://www.iea.org/policies/17125-energy-bill-compensation-for-regional-schools,Just transitions,Government spending for energy affordability,,,https://www.mfsr.sk/sk/media/tlacove-spravy/boj-energetickou-krizou-uvolnujeme-30-milionov-eur-regionalne-skoly.html,The Ministry of Finance of Slovakia allocated in September 2022 EUR 30 million to regional schools in order to compensate high energy prices caused by the energy crisis.,IEA
Energy cost contribution scheme for energy-intensive SMEs,Netherlands,2022,Ended,National,https://www.iea.org/policies/20486-energy-cost-contribution-scheme-for-energy-intensive-smes,Just transitions,Government spending for energy affordability,,,https://business.gov.nl/subsidy/energy-cost-contribution-scheme/,"In an effort to shield energy-intensive SMEs from the impact of the global energy crisis, the Dutch government implemented a grant scheme covering part of the electricity and gas bill increase.",IEA
Energy cost subsidy 1 & 2 and lump sum subsidy model,Austria,2022,Ended,National,https://www.iea.org/policies/18333-energy-cost-subsidy-1-2-and-lump-sum-subsidy-model,Just transitions,Government spending for energy affordability,,,https://commission.europa.eu/system/files/2023-05/2023-Austria_SP_en.pdf,"The Energy Cost Subsidy 1 & 2 (ECS 1 & 2) and lump-sum subsidy model aimed to cushion the increase in prices for electricity, natural gas and fuels, for companies and commercial associations to support local economy and businesses. ECS 1 and 2 were introduced in 2022 and 2023 respectively.The schemes differentiated the amount of subsidies to the companies based on their energy intensity. Compared to the ECS 1, ECS 2 allowed in-principle higher subsidies and subsidy intensities in the individual stages and made additional types of energy eligible for subsidies. A lump sum subsidy model was also created to cater to micro and small enterprises whose support was below the lower funding limit of the ECS. Companies not eligible for support include energy-producing and mineral oil-processing companies or primary agricultural and forestry productionIn total, 2022-2023 budgetary for ECS 1, ECS 2 and the lump-sum subsidy model amounted to a maximum of €7.0 billion.",IEA
Energy costs allowance for energy-intensive SMEs (TEK),Netherlands,2022,Announced,National,https://www.iea.org/policies/16857-energy-costs-allowance-for-energy-intensive-smes-tek,,,,,https://www.rijksoverheid.nl/actueel/nieuws/2022/10/14/kabinet-vergoedt-vanaf-1-november-kosten-energie-intensief-mkb,"The Energy Costs Allowance for energy-intensive SMEs (TEK) offers a temporary allowance for SMEs whose energy costs make up a relatively large part of the total costs.The amount of the subsidy is 50% of the energy costs above a threshold price. The threshold price is EUR 1.19 per m³ of gas and EUR 0.35 per kWh of electricity.The TEK scheme is for the period 1 November 2022 to 31 December 2023.The European Commission has recently approved the aid scheme. Brussels considers the Energy Cost Allowance (TEK) “necessary, appropriate and proportionate” and approved the scheme under the relaxed State aid rules that the European Union temporarily has in place. The support must be given December 31, 2023.",IEA
